arv, inheritance
avkortet evaluering, short-circuit evaluation
betingelse, condition
betinget, conditional
bruker, user
del-streng, substring
desimaltall, floating point number
eksekverbar , executable 
eksekvere. execute
element, item
tilkobling (filer), file handle
foranderlig, mutable
fortegnelse, dictionary
gjennomgang (av sekvens), traversal
gren (if-/else-), branch
grensesnitt, interface
gui-element, widget
heltall, integer
hendelse, event
hendelsesløkke, event loop
if-gren
indeksering, bracket operator
indeksvariabel, iteration variable
inndata, input
inn-enhet , input device
innkapsling, encapsulation
instruksjonspeker, program counter
intervall, range
iterasjon, iteration
kall, call/invocation
konnektiv, boolean operator
linjeskrift, newline
listebygger, list comprehension
løkke. loop
løkkevariabel, iteration variable
modus, mode
nøkkel, key
nøkkelord , reserved word
oppslag, lookup
posisjon (i sekvens), index
prikk-notasjon, dot notation
primærlager, main memory
program, program/script
programflyt, flow of execution
programsetning, statement
regulært uttrykk, regular expression
resultatfunksjon, fruitful function
resultatverdi, return value
runde, iteration
sammenlikningsoperator, comparison operator
sammensatt (uttrykk/programsetning), compound
sammensatt nøkkel, composite key
sannhetsverdi, boolean value
segment, slice
sentralenhet, CPU
skop, scope
små (bokstaver),lower case
store (bokstaver), upper case
subklasse, child class
superklasse, parent class
tekstsegment, slice
tekstverdi, string
tilordning, assignment
tolk, interpreter
tom funksjon, void function
tom streng, empty string
tuppel, tuple
uendelig løkke, infinite loop
uforanderlig, immutable
utdata, output
utførelse, execution
utpakking, unpacking/tuple assignment
utsnitt, slice
uttrykk, expression
verdi, value



